Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
subarray,sub array
subarrays,sub arrays
divide-and-conquer,divide and conquer
pseudocode,sudo code
pseudocode,side code
pseudocode,ceto code
arrays,a race
arrays,arise
arrays,a rase
arrays,a raise
arrayss,a raises
unmerged,un merged
carry,carrie


letssee,let's see
okay,ok

Yasmin,Yasmine

>,greater than
<,smaller than
atmost,at most
atleast,at least
of, parentheses

tothe,to the power of

